,内定予想,退職予想,個人ｺｰﾄﾞ,氏名,分類,区分,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度,内定有無,No.
455,非内定,退職,210716009.0,,新卒,,２０〜２５才,0,39,54,59,49,54,59,32,50,53,65,30,59,57,53,35,41,64,52,61,67,62,50,53,32,57,47,68,41,66,65,47,64,65,59,60,57,80,100,100,80,80,100,100,100,80,60,60,80,80,80,60,100,1,1,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,46,74,68,68,56,73,46,61,63,40,56,0,,
456,内定,在職,210716010.0,,新卒,,２０〜２５才,0,48,54,42,49,33,72,55,41,37,53,46,36,67,50,43,46,49,44,66,53,41,50,53,52,47,41,68,44,50,46,55,50,57,46,41,52,80,100,100,60,60,80,80,60,60,60,60,80,60,60,60,60,16,2,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,62,44,40,57,54,46,48,57,59,56,57,0,,
457,非内定,退職,210719001.0,,新卒,,２０〜２５才,0,68,54,50,51,47,75,71,44,32,57,57,43,53,46,43,53,50,52,71,50,50,67,53,65,39,57,60,62,45,50,64,77,72,39,52,54,80,100,100,80,80,80,100,60,80,60,60,60,60,80,60,100,16,1,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,77,47,50,59,65,44,55,56,62,60,54,0,,
458,非内定,退職,210719002.0,,新卒,,２０〜２５才,0,43,41,63,49,42,56,55,44,45,57,39,43,57,46,52,46,50,56,51,50,53,50,49,46,44,38,60,37,39,50,47,47,65,42,41,54,60,100,80,100,80,100,100,20,80,60,60,80,60,80,60,60,9,2,いろいろな人の集まる輪のなかで、自分から話をするというのではなく、聞き上手な方にまわり、自分のための情報収集をするタイプ。しかし、自分にあった環境や、同じような価値観の持主、気の合った仲間のなかでは、豊かな内面性を自ら積極的に発揮させる。また、独自の内面的世界を重要視していて、周囲のことはあまり気にしないという面がある。しかし、一般的に言われる他人への気配りは見られ、社会への関心はある。どちらかといえば、物事をさめた眼でみつめる方であり、環境をあるがままに客観的にとらえようとしていて、意見の口外は少ないにせよ、頭のなかではじっくりと考えた的確な判断をしている。また、自信がもてるまで、行動に移さない慎重性も認められる。これは、自ら外にうってでるような冒険や果敢な行動をしないための結果といえる。おおきな失敗をしない手堅さとしては評価できるのだが、逆に失敗に対する不安を考えすぎる傾向もあり、良いものがあるのに、できることだけを小さく表現してしまう欠点でもある。,61,42,42,57,59,54,47,56,56,54,56,0,,
459,内定,退職,210719003.0,,新卒,,２０〜２５才,0,65,51,67,61,59,63,63,50,32,61,59,59,50,42,43,46,57,61,66,47,59,55,45,55,54,57,55,54,54,52,68,64,72,59,64,61,80,100,100,100,80,80,100,60,100,80,80,100,80,80,80,60,8,0,社会性をそなえていて他人への配慮もみられる。発想は着実でありながら、非常にセンスのよい意見をもっている。また、物事をあるがままに客観的にとらえ、キチンと把握することができる。非常に豊かな内面性をもっているが、周囲の状況に左右されないところがあるため、おっとりしているとか、逆に抜け目がないなどの印象を与えることがある。そして、何事にも真面目で、丹念に取り組むことができ、節度ある常識人という感じでも見られる。努力家であり、手掛けたことはいつまでも大事にし、時間をかけてでも自分に納得のいくまでかかわっていこうとする。難題にぶつかっても、あっさりとあきらめたり放り出したりすることは少なく、とりあえず現状の方法で努力し、違うとなれば次の手段を考えて、もう一度取りかかったりする。派手さはないが安定感があるといえる。自分自身についても深く内省していて、含蓄のある言葉が自然に出たりもする。知識や経験の豊富さにもよるが、参謀的な登用をすれば、組織にも当人にも有益であろう。,71,72,66,78,79,64,50,54,59,49,49,0,,
460,内定,在職,210719004.0,,新卒,,２０〜２５才,1,86,65,55,36,47,69,55,35,45,61,62,47,50,42,52,66,44,52,61,28,50,55,32,52,42,41,52,54,51,52,55,73,44,39,52,42,80,80,100,80,80,80,80,40,60,60,40,60,40,80,20,60,7,2,几帳面で、生活ぶりもキチンとしている。努力を信条として、地道に自分らしい事を息切れがせずいつまでも丹念に続けるタイプの人である。徹底性もみられ、納得がいくまで手掛けたことを大事にする。そして常識家でもあり、世間から逸脱した行動をとることはない。いわば万事手堅く安全にという生き方といえるが、斬新さや柔軟さに欠ける。しかし、頭の中にはアイデアがたくさんつまっていて、凝り性なところもある。ただ、内面で素晴らしい発案や考えがあっても、それを他人にうまく表現し伝えるとなると堅苦しくなってしまう。また、どちらかというと美的な生き方をしているといえる。他人と交友関係を進んでもつことは少ないものの、自己の考えや価値観の合う人は大切にしている。しかし、生活のためか、情報収集のために必要な社会的アンテナは張っている。ものの見方は自分も含め客観的で、物事をキチンと把握しようとしている。そのためか、常に一歩外からの発言が多く、冷たいとの印象を与えがちだが内面性は非常に豊かである。,65,28,34,59,51,34,48,45,51,54,43,0,,
461,非内定,在職,210719005.0,,新卒,,２０〜２５才,1,81,54,38,46,47,59,51,35,37,73,57,26,40,30,46,100,49,52,71,34,47,52,45,55,44,44,52,51,51,36,55,50,50,39,41,54,60,80,100,100,60,80,100,40,80,40,40,80,60,60,40,60,17,2,時期尚早なことは決してせず、あくまでも機が熟すのを待つような慎重さがある。自分の感情を抑えるよさがあり、人に対する気配りもみられる。しかし、他人の思惑を考えすぎたり、行動する前から問題が起こることを予測するような気の弱さを表に出すことがあり、そうしたことも見方によっては、自信のなさからきているものだと誤解をまねくことがある。もともと、過敏な神経の持ち主であり、大勢の人の集まる場所では、緊張のため快活に振舞えなくなることがある。持っている冷静さを失うと、不安定な行動をとる可能性もある。一般的に真面目で一途な人に多いが、もう少し精神的に余裕をもてるような、おおらかさがほしい。また、任されたことは単純な作業であっても、飽きずに長時間こなせる持続性がある。通常は何事もコツコツと丹念に取り組むほうで、生活ぶりも規則正しく、几帳面である。努力を信条とし、いつまでも走り続ける長距離ランナー型といえる。しかし、一時に没頭しすぎるきらいがあり、しつこさとして映ることもある。,67,30,33,53,54,34,52,46,54,58,47,0,,
462,非内定,退職,210719006.0,,新卒,,２０〜２５才,0,80,41,59,64,59,53,36,59,50,42,30,40,63,53,32,53,64,52,46,59,62,52,57,36,57,38,68,48,68,52,35,35,65,52,60,64,100,100,100,80,80,80,80,80,80,80,80,80,60,80,60,80,2,2,じっくりと考えたり検討したりすることは、嫌いな方ではないが、いざ物事に取り組む時には、考えるよりも先にアクションを起こしていくという行動的なところがある。環境への適応力があり、状況の変化にもたやすく順応していくことができるが、自分をさらけ出してとけ込むというほどではなく、周囲を見渡しながら調子を合わせている程度といえる。本当に自分が信頼して馴染むまでには、多少の時間がかかるといえる。そして、気分に周期性がみられ、調子の良いときと落ち込んでいるときとがある。瞬発力はあるが、長続きがするとまではいえず、いつのまにか放り出しているような気分屋なところもある。また、社会への関心があり、世間に対する配慮もみられる。そして、行動を必要としない場面では、環境をあるがままにとらえようとする傾向が強く、物事をキチンと把握しようとする。そうした時には、人情や状況などに左右されたりする事なく、常に一歩外側から的確に判断し、持続性がともなえば良いリーダー格になりうる可能性がある。,38,66,56,49,48,71,50,58,59,43,56,0,,
463,内定,在職,210719007.0,,新卒,,２０〜２５才,0,85,38,55,61,50,69,63,48,61,61,57,43,47,34,43,66,66,74,71,38,69,63,36,58,44,47,55,65,51,55,68,77,53,46,64,69,80,100,80,80,80,100,100,60,100,80,40,80,60,80,20,60,8,1,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,75,55,54,61,69,64,61,53,60,48,46,0,,
464,非内定,在職,210719008.0,,新卒,,２０〜２５才,0,38,51,67,49,50,50,51,59,50,57,46,47,50,26,52,62,59,48,46,67,69,55,53,36,62,41,49,48,50,65,55,64,61,59,56,61,80,100,100,80,80,100,100,80,80,100,80,100,100,100,60,100,0,1,自分の内面的世界で独自な価値観を形成し、自分自身を深く見つめていて、発想やアイデアにはセンスのよさを感じさせる。また、たくさんの交友関係を望んでいるわけではないが、気の合う友人とは深い付き合いをしていて、他人など周囲への配慮もみられるという社会性をそなえている。そして、冷静かつ的確な判断をしようとしていて、客観的なものの見方をしている。ときに、その客観的すぎる判断や意見について、冷たいとの印象を他人に与えてしまうことがあるが、そこに他人を見下したり冷笑するような発言がない限り、おおきな障害になることはない。物事の取り組み方は、内容と結果を検討しながら、加えて他人と比較しながら、自分が評価されることが重要と考えることがある。多少、勝気な性格といえ、他人と競合するような場面では実力以上の結果を生み出すことがある。精神的には独立していて、他人に依存したり、押しつけがましさは好むところではない。思いあがった独善性もなく対外的には頼りになるが、他罰的傾向もみられる。,46,64,60,57,50,62,46,58,54,41,58,0,,
465,非内定,退職,210720001.0,,新卒,,２０〜２５才,0,44,48,67,58,50,53,51,55,41,69,49,40,50,46,58,50,62,56,51,63,69,59,57,43,57,50,49,54,62,52,55,47,53,56,64,61,80,80,100,100,100,100,80,80,100,80,80,80,80,100,40,100,6,1,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,62,69,64,64,60,71,50,54,54,45,54,0,,
466,非内定,退職,210720002.0,,新卒,,２０〜２５才,1,37,54,47,46,50,63,51,41,41,61,46,43,50,34,49,53,59,65,71,59,53,67,49,55,42,57,52,62,51,48,55,61,68,42,52,52,80,100,100,100,60,60,100,40,80,60,40,80,60,80,60,80,12,1,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,75,52,53,58,69,49,58,54,63,55,53,0,,
467,内定,在職,210720004.0,,新卒,,２０〜２５才,0,80,54,71,43,38,82,75,53,58,78,39,52,50,46,52,46,55,79,82,50,76,73,57,58,39,41,60,70,36,70,87,84,53,52,76,57,100,100,100,100,100,100,100,80,100,100,40,100,100,100,60,100,14,0,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,79,60,54,63,77,67,59,58,66,46,56,0,,
468,非内定,退職,210720101.0,,新卒,,２０〜２５才,0,44,48,67,58,50,53,51,55,41,69,49,40,50,46,58,50,62,56,51,63,69,59,57,43,57,50,49,54,62,52,55,47,53,56,64,61,80,80,100,100,100,100,80,80,100,80,80,80,80,100,40,100,6,1,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,62,69,64,64,60,71,50,54,54,45,54,0,,
469,非内定,退職,210720102.0,,新卒,,２０〜２５才,1,37,54,47,46,50,63,51,41,41,61,46,43,50,34,49,53,59,65,71,59,53,67,49,55,42,57,52,62,51,48,55,61,68,42,52,52,80,100,100,100,60,60,100,40,80,60,40,80,60,80,60,80,12,1,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,75,52,53,58,69,49,58,54,63,55,53,0,,
470,非内定,在職,210720103.0,,新卒,,２０〜２５才,0,59,48,42,54,47,50,51,41,41,57,46,43,60,30,52,41,52,52,46,53,56,47,53,52,42,50,49,37,39,52,52,54,61,42,45,57,60,40,60,60,40,80,80,60,80,80,80,80,60,80,40,60,5,2,落ち着いた雰囲気もあり、何事もはっきりとした見通しがつくまで動かないという慎重さがみられる。また、斬新なアイデアがあるのかもしれないが、その評価の是非を気にするためか、慎重すぎるためか、自分の物差しの中でできる範囲内のことを限定して表現してしまう傾向がある。また、問題が起こると、何事もなかったようにあっさりと流してしまうときと、責任を一人で感じて、いつまでも悩んでしまうようなときとが交互にあらわれる。もう少し、失敗を恐れない図太さがあるとよいが、慎重さ手堅さは評価できる。反面、思いたったことは素早く実行するなど、ポジティブな行動をとることもできる。やや思索性に欠けるきらいがあるが、環境が変っても柔軟に適応することができ、体を動かして物事を解決しようとする。そして、情緒的にも安定していて、一定のリズムをもって生活している。発想も感覚的な部分はあるが、堅実で筋道をたてた理詰めな考え方をすることができる。もっと良い特性を前面に出せばリーダー格になりうる人である。,47,40,37,45,55,39,49,54,52,56,54,0,,
471,内定,在職,210720104.0,,新卒,,２０〜２５才,1,77,48,55,51,47,66,55,55,66,73,37,43,43,42,46,58,59,61,61,63,62,55,49,50,54,50,60,51,51,68,61,73,57,52,64,66,100,100,60,80,40,100,100,100,80,80,100,60,60,80,60,60,3,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,68,64,59,66,64,71,52,61,61,42,54,0,,
472,内定,在職,210720105.0,,新卒,,２０〜２５才,1,45,54,63,39,68,30,44,50,41,53,62,36,47,46,43,70,64,74,32,50,59,63,45,50,51,65,43,65,60,60,35,39,53,52,67,47,60,60,20,60,80,100,100,40,80,60,80,60,20,80,40,20,-10,3,思い付きは早くカンもよいが、物事を実行に移すに際しては、身軽で迅速というほどではない。多少、尻が重たいとの印象があるが、それはじっくりと考えてから行動しようとするためでもある。自己の内面性は豊かで、自分自身を深く内省している。しかし、気分屋なところがあり、張り切って仕事をしていたかと思えば、いつの間にか沈んでいるといったように、感情に起伏が見られる。よく考えた上で決めたことは必ず実行しようとするが、その日の気分や周囲の状況で予定を変更してしまうことがある。また、どのような人が集まる場所でも、その状況にあわせて対応したり、周囲への気遣いを見せたりもするが、本来は広く浅い対人関係などよりも、価値観や考え方のあった友人との付き合いを大切にしたいと感じている。そして、環境を客観的にとらえようとする傾向が強く、物事をしっかりと把握しようとしていて、全体的な調和より細かい部分、結果だけではなく経過までを観察している。発想は着実であり時としておもしろいアイデアもでる。,37,37,42,34,36,36,57,47,43,47,43,0,,
473,非内定,退職,210720106.0,,新卒,,２０〜２５才,1,66,48,59,61,54,66,51,44,61,69,49,50,43,30,52,70,71,70,66,73,50,67,61,50,51,57,68,62,62,73,68,80,82,49,45,75,100,100,100,100,100,100,100,80,100,80,60,80,100,80,60,100,7,0,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,67,68,67,67,62,74,58,69,67,48,61,0,,
474,非内定,退職,210720107.0,,新卒,,２６〜３０才,1,63,51,42,36,54,72,55,48,41,61,65,36,63,42,32,58,52,61,82,24,53,67,27,55,42,54,55,65,51,46,55,47,65,27,41,52,80,100,100,100,80,100,100,60,100,40,60,60,100,80,100,100,15,1,仕事にも生活にも几帳面で、キチンとしていなければ気がすまないタイプである。手掛け始めたことは、地道にコツコツと努力し、途中で投げ出すことなく最後までやりぬこうとする。徹底性もあり、ときにそれがしつこいという印象になる。常識からはずれた行動をとることなく、あくまでも社会規範に沿った生活を重んじている。そのため杓子定規な判断も多く、斬新さや柔軟さに欠けるきらいがあるが、大きな失敗をしないことは取り柄といえる。また、過信せずある程度の見通しがつくまで行動しない慎重さもある。他人の意見なども自分が納得するまでは、簡単に受け入れることはあまりない。状況の変化に対しては、徹底的に理由を調べてから次の行動へ移ろうとする。そして、自分と他人を比べて考えるようなことはなく、他人には思いやりをもって接しようとしている。よくいえば、自分を抑える良さととれるが、一方では気弱で引っ込み思案であり快活な面がないともいえる。努力型と慎重性、弱気さをもった神経の細かい過敏な性格である。,71,42,40,61,60,47,60,48,61,60,41,0,,
475,内定,在職,210720108.0,,新卒,,２０〜２５才,0,88,35,63,67,50,63,48,48,41,47,39,50,63,60,32,46,66,61,61,67,66,59,61,50,47,41,79,58,68,70,50,68,76,52,60,69,80,100,100,100,100,100,100,100,100,100,80,100,80,100,60,100,10,0,状況の変化を敏感にとらえることができ、その環境に適応する能力をそなえた行動派タイプといえる。考えるよりも、まずは身体を動かすことで物事を解決しようとしたり、反面、思索的客観的に検討してから判断する２面性を持っているといえる。情緒的にも安定しており、自分なりのリズムをもって生活をしている。手掛けた仕事を途中で放り出すような無責任さは少ない。発想も思い付きばかりではなく、理詰めで堅実なところもあり、非常にユニークなアイデアを出すことがある。感覚的に判断するのではなく、客観的に物事を把握し行動している。また、社会への関心もあり世間に対する配慮もみられる。どちらかといえば、進んでたくさんの交友関係を形成するというより、気の許せる限られた友人との付き合いを大切にするところがある。常に自分を一歩外に置き、人情や感情に左右されない発言をすることがあるため、冷たいという印象を他人に与えてしまうことがあるが、実のところ自身を深く内省していて、豊かな内面性の持ち主といえる。,66,78,71,64,72,82,56,68,65,50,62,0,,
476,非内定,在職,210720109.0,,新卒,,２６〜３０才,0,50,54,80,51,54,42,36,61,58,61,39,29,67,50,35,58,57,44,46,56,62,47,53,22,68,51,55,37,47,63,38,43,57,59,56,57,60,100,60,80,80,80,80,80,100,100,80,80,100,100,60,100,-6,3,自分の内面的世界で独自な価値観を形成し、自分自身を深く見つめていて、発想やアイデアにはセンスのよさを感じさせる。また、たくさんの交友関係を望んでいるわけではないが、気の合う友人とは深い付き合いをしていて、他人など周囲への配慮もみられるという社会性をそなえている。そして、冷静かつ的確な判断をしようとしていて、客観的なものの見方をしている。ときに、その客観的すぎる判断や意見について、冷たいとの印象を他人に与えてしまうことがあるが、そこに他人を見下したり冷笑するような発言がない限り、おおきな障害になることはない。物事の取り組み方は、内容と結果を検討しながら、加えて他人と比較しながら、自分が評価されることが重要と考えることがある。多少、勝気な性格といえ、他人と競合するような場面では実力以上の結果を生み出すことがある。精神的には独立していて、他人に依存したり、押しつけがましさは好むところではない。思いあがった独善性もなく対外的には頼りになるが、他罰的傾向もみられる。,26,57,48,49,34,64,38,55,52,36,52,0,,
477,非内定,在職,210720110.0,,新卒,,２０才未満,0,80,65,59,33,42,59,58,55,23,65,62,43,53,53,46,53,55,44,61,47,69,47,53,50,57,59,45,54,47,55,52,57,57,52,64,44,60,80,60,80,40,60,100,20,100,80,60,100,80,60,20,80,9,2,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,60,50,56,57,46,53,44,51,54,50,51,0,,
478,内定,退職,210720111.0,,新卒,,２０〜２５才,0,42,61,63,46,59,69,40,61,71,53,39,52,43,30,40,70,52,40,66,56,56,52,41,39,65,57,60,48,51,60,55,57,57,56,52,47,60,100,100,80,100,80,100,100,60,40,100,80,60,100,60,60,-5,2,積極性があり、外向的であるといえるが、自分の存在を強くアピールする言動が目立ち性格も勝気といえる。本人は特に意識はしていないが、ライバルが登場したりすると、競争的になったりもし、予想以上の能力を発揮することがある。もともと理論的に正しいと思ったことだけ信じるほうだが、自分に間違いがないと思ったことは、相手が誰であろうと議論することができ、意思をつらぬこうとする。自分に自信があるためか、自尊心は高いほうである。また、一方では道徳的なことを大切にする几帳面なところもある。生活ぶりもわりと規則正しく、物事の取り組み方もコツコツと丹念に実行していくような息の長いところもある。物事の判断の仕方も世間一般にそった考え方をするところがあり、常識的な判断をすることができる。しかし、その徹底性も自分で納得のいくものに限られ、感覚的に気に入らなければソッポをむいてしまう。周囲から模範的に見られたいと望んでいるが、自分とリズムが合わなかったりすると見下した態度をとる可能性がある。,38,56,51,53,37,55,43,53,61,39,47,0,,
