No.,在籍状況(入社3年以内),世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
51,在職,２６〜３０才,男,33,54,42,46,50,50,48,44,45,65,39,50,63,46,40,36,43,48,51,50,47,55,57,52,44,41,45,51,41,48,47,39,53,42,45,44,60,100,60,80,80,100,100,40,60,60,40,60,60,80,40,60,8,Ｄ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,47,31,29,41,50,33,51,48,51,55,53,0
52,退職,２６〜３０才,男,63,54,50,51,24,66,51,38,32,61,49,50,47,38,43,62,57,52,76,53,62,43,53,65,42,41,60,37,50,48,58,39,65,49,52,66,80,100,100,80,100,100,100,80,100,80,80,80,80,100,60,60,22,Ｂ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,65,48,42,64,64,57,45,61,63,58,61,0
53,在職,２６〜３０才,女,100,38,50,61,42,66,44,32,37,53,57,40,40,42,68,50,69,52,71,53,47,59,49,50,44,47,75,54,62,55,58,50,68,49,38,66,100,100,80,100,80,100,100,80,100,80,100,100,60,60,80,60,14,Ｂ,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,68,58,62,53,57,60,55,62,63,56,56,0
54,在職,２６〜３０才,男,85,65,59,36,50,56,58,41,41,69,62,47,60,46,49,46,30,48,36,31,44,47,49,58,33,62,35,41,27,38,47,50,31,35,41,36,20,60,60,80,80,60,80,40,60,60,20,40,40,60,20,40,0,Ｄ,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,54,21,29,55,45,27,42,36,38,61,39,0
55,退職,２０〜２５才,男,90,38,71,64,42,63,44,53,45,42,42,50,57,42,49,46,57,56,71,59,53,59,57,50,50,36,71,51,66,65,52,54,68,46,49,64,80,100,100,100,80,100,80,80,60,80,80,80,80,60,80,60,12,Ｂ,初対面の人に対しては、まず相手の様子をうかがい、考え方や価値観が合えばそれなりに突っ込んだ話をすることができる。社会への関心はあり、世間に対する配慮もみられる。豊かな内面性をもっていて、発想は着実でありながら、時として非常にユニークなアイデアを提示する。そして、自分も含めて、環境をあるがままに客観的にとらえる傾向が強く、物事をキチンと把握する。客観的かつ冷静な発言をするので、冷たいという印象を他人に与えてしまうことがあるが、心の中には、人情もろくてお人好しな面を持ちそなえている。また、聞き上手な面があり、情報を広くつかもうとする。そうした一方では、思いたったことは素早く実行に移すという行動力もある。行動的な部分は、あまり複雑に考えずにとりあえず実行してみるといった感じだが、これも軽薄というのではなく、それなりに状況をつかみながらのことである。環境への変化にも容易についていけ適応力もある。頭のよさがあり、慎重性をともなえばよいリーダーになりうる存在である。,57,68,63,62,60,77,51,64,63,52,61,0
56,在職,２０〜２５才,女,37,58,38,49,50,56,44,44,45,53,49,47,43,42,49,70,59,48,61,59,53,50,49,52,50,41,71,48,66,46,55,57,65,49,56,61,80,100,100,80,100,100,80,100,100,80,80,100,80,80,80,80,9,Ｂ,ものの見方は主観的ではなく客観的に判断し、自分に対しても客体化した見方ができる。もともと人とのかかわりを望んでいるほうではなく、友達などとおしゃべりするよりは、芸術の世界などに閉じこもり、その中で生きていたい、ひとりで落ち着いていることが好き、というのが本音である。また、地道に堅い生活を送っている人で、何事においてもマメで、手を抜かずコツコツと丹念に取り組んでいこうとする。努力家でもあり、手掛けたことは最後まで大事にして、時間をかけても自分が納得するまであきらめない、長距離ランナー型といえる。長時間同じことをする職務を任されても、対外的にあまり文句を言うことがない。それでいて、それほど規則や秩序にこだわらず、状況に応じた判断をしようとする。行動や見た目に現れないとしても、世間の常識はわきまえている。コチコチな規則型人間といったほどではなく、発想も固定的なものばかりではない。性格的に派手さはなく、極端に目立つことはないが、周囲からは信頼されていたりもする。,62,54,49,64,54,52,50,58,58,50,56,0
57,在職,２０〜２５才,女,64,41,47,58,42,50,58,48,45,65,49,56,47,50,43,58,52,65,55,50,59,52,53,55,51,50,45,58,47,63,55,57,44,56,56,61,100,60,60,80,80,100,60,80,80,60,40,100,80,60,20,40,3,Ｂ,落ち着いた雰囲気もあり、何事もはっきりとした見通しがつくまで動かないという慎重さがみられる。また、斬新なアイデアがあるのかもしれないが、その評価の是非を気にするためか、慎重すぎるためか、自分の物差しの中でできる範囲内のことを限定して表現してしまう傾向がある。また、問題が起こると、何事もなかったようにあっさりと流してしまうときと、責任を一人で感じて、いつまでも悩んでしまうようなときとが交互にあらわれる。もう少し、失敗を恐れない図太さがあるとよいが、慎重さ手堅さは評価できる。反面、思いたったことは素早く実行するなど、ポジティブな行動をとることもできる。やや思索性に欠けるきらいがあるが、環境が変っても柔軟に適応することができ、体を動かして物事を解決しようとする。そして、情緒的にも安定していて、一定のリズムをもって生活している。発想も感覚的な部分はあるが、堅実で筋道をたてた理詰めな考え方をすることができる。もっと良い特性を前面に出せばリーダー格になりうる人である。,61,57,56,59,70,55,57,53,50,49,51,0
58,退職,２０〜２５才,女,80,45,42,54,59,50,40,48,53,42,33,47,60,53,29,41,64,56,51,67,50,52,57,50,54,38,55,48,54,55,47,47,65,56,49,54,80,100,100,100,80,80,80,60,80,80,80,60,60,80,60,60,0,Ｃ,気分屋であり、思いつきは早いが、それを行動にうつすにさいしてはテキパキと身軽に動きまわるというほどでない。活発であるが少し重たさが感じられる。気立てはよくお人好しであり、人情家でもある。快活な人柄であり、明るい雰囲気がある。調子に乗れば仕事は早いが、気分屋な所があり、元気よく仕事をしていたかと思うと静かにちんまりとしていることがある。人間的には温かくて人なつこい性格で、世話好きな面がみられる。ただ、長続きしない所があり、多少のケア−が必要かもしれない。,37,60,49,46,47,51,53,56,59,47,58,0
59,在職,２０〜２５才,男,89,35,47,64,47,75,51,53,50,61,46,40,53,42,35,62,66,65,76,63,66,67,53,52,57,36,75,58,57,73,71,73,79,49,64,72,100,100,100,100,100,100,100,100,100,80,80,100,80,100,60,100,13,Ａ,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,68,72,67,63,66,74,61,69,70,46,62,0
60,在職,２６〜３０才,男,55,54,55,46,33,63,75,38,14,69,54,36,60,42,46,50,50,61,55,63,47,43,79,65,33,47,60,54,45,46,77,64,68,42,49,57,80,100,80,100,80,80,100,80,80,80,60,80,80,80,60,80,27,Ａ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,76,59,51,76,74,64,49,60,56,65,66,0
61,在職,２０〜２５才,男,55,61,50,39,42,59,66,44,45,61,54,40,53,34,49,58,44,48,55,41,47,47,45,65,42,51,52,48,41,48,64,57,50,42,52,44,80,100,80,80,40,80,80,60,60,60,60,80,80,60,80,80,6,Ｃ,生活ぶりもキチンとしていて、几帳面な性格である。努力家であり、自分らしい事を地道に丹念に続けるタイプの人。一度手掛けたことは、納得がいくまでやり遂げようとする徹底性もみられる。いったん夢中になると、他のことが目に入らなくなることがある。また、常識や規則など社会通念を大切に考え、世間からズレた行動をとることは少なく、派手なことより、万事手堅く安全にという生き方をしている。また、物事の把握の仕方は、理論的に正しくないと信じないところがあるが、内面では非常におもしろいアイデアをもっている。しかし、それを表現する段階になると、「常識」を意識するあまり定型的になってしまう。また、自分でよく考えた上で決定したことは必ず実行し、気分や周囲の状況によって予定を変更することはない。そして、周囲への配慮や環境への意識というより、自己の内面世界に閉じ込もっている時間帯に、最高の幸せを感じる。しかし、外界の状況を完全に遮断するわけではなく、社会的な情報網は自分なりにもっている。,68,28,30,57,55,32,46,48,50,56,48,0
62,在職,２０〜２５才,男,30,61,42,36,50,50,48,41,50,47,49,43,53,30,55,50,55,52,61,50,62,43,49,50,54,54,55,44,45,55,50,54,61,59,60,54,80,100,80,80,100,80,100,60,100,60,60,80,80,80,60,100,0,Ｃ,独自の価値観や考えを大切にし、自己の中にある物差しの中で生きている。自分以外のことにはあまり興味がなく、他人との接触に対しても積極的とはいえない。交友関係などは面倒だと思い、進んで広げていくのは得意ではない。しかし、自分が付き合ってみようと決めた友人とは、深い交友関係を形成する。ときに、漂々とした生活を好み、つかみどころがないという印象を他人に与えてしまうことがある。そして、独自の尺度のなかで、主観的に物事を判断しようとする傾向がある。本来、身軽にテキパキと活動するよりも、じっと落ち着いて考え込むことを好んでいるが、かといって、自分と厳しく向かいあっているという感じでもない。また、安定した状況を好み、転地や転勤などの新しい環境への適応性があるとはいえない。ただ、しばらくすると順応性があったのかと錯覚をするほど、馴染んでしまうようになる。気分に周期性が見られ、調子に乗って仕事をしていたかと思うときと、気が向かないために何もしないときの波がハッキリしている。,49,50,44,48,47,43,47,54,55,45,51,0
63,在職,２０〜２５才,男,61,51,50,51,47,66,48,48,37,69,49,47,50,34,52,58,49,56,66,50,53,59,57,58,47,41,68,44,50,55,61,77,57,49,56,61,100,100,100,80,80,80,100,80,80,60,80,80,100,80,80,60,14,Ｂ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,67,60,50,68,67,56,51,57,57,53,55,0
64,在職,２０〜２５才,女,33,65,55,46,42,53,40,50,41,50,46,52,47,34,46,74,55,48,51,50,47,50,49,52,51,44,64,41,57,52,44,50,57,49,45,54,60,100,80,80,80,80,100,80,80,60,80,80,80,60,20,60,5,Ｄ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,42,39,42,50,36,49,43,55,54,53,54,0
65,退職,２０〜２５才,男,40,54,50,49,47,56,55,44,45,65,49,43,53,68,26,58,59,52,61,56,56,50,53,55,44,47,55,44,60,60,58,64,57,39,49,61,100,100,100,100,100,80,100,60,100,80,60,80,80,100,60,100,8,Ａ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,72,63,59,68,64,63,48,57,56,55,54,0
66,在職,２０〜２５才,男,87,38,47,61,47,53,36,48,45,61,37,33,63,38,43,62,55,56,51,59,53,55,61,46,47,38,60,41,54,46,41,35,68,49,49,64,80,100,80,80,100,100,100,60,60,60,60,60,60,60,80,100,11,Ｃ,行動的であり、思い付いたことは素早く実行する。環境への適応力があり、状況の変化にもたやすくついていける。やや思索性に欠けるきらいがあるが、実際的な活動には向いている。行動的ではあるが情緒的にも安定しており、一定のリズムをもって生活をしている。また、手掛けはじめたことを途中で放り出すような気分屋的な所はあまり見られない。やや感覚的といえるが、発想も思い付きばかりではない。筋道をたてた理詰めな考え方をすることができる。一方では、過信せず見通しがつくまで動かないという慎重さも本質のひとつである。思いやりがあり自分を抑えるよさがあるが、問題が起こるとあっさりと流してしまうときと、責任を一人で感じ、いつまでもとりこし苦労をしてしまう気弱な面とが交互にあらわれたりする。行動的なときはよいが、慎重すぎると自分のできることだけを内々に小さく表現しようとする傾向があり、失敗を恐れるあまり果敢にうってでることができない。しかし、病的な暗さはなく、手堅さは評価することができる。,45,55,47,57,54,63,53,58,58,51,60,0
67,退職,２０〜２５才,女,53,51,42,49,38,56,32,48,27,57,51,40,50,34,43,74,50,48,66,47,53,50,53,50,54,44,64,44,57,52,38,47,68,46,56,54,80,100,100,80,60,80,100,80,60,60,60,60,80,60,60,40,15,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,54,41,40,56,45,46,49,57,57,53,57,0
68,在職,２０〜２５才,男,48,51,59,51,42,48,55,48,50,78,51,50,47,50,46,53,49,61,55,47,62,43,57,50,50,62,60,48,41,55,55,57,50,49,60,64,80,100,80,60,60,100,80,80,80,80,40,100,80,60,40,80,5,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,63,53,49,61,66,56,48,55,50,48,50,0
69,在職,２６〜３０才,男,86,45,47,61,47,63,51,44,45,61,37,52,53,46,35,58,59,61,55,56,53,52,53,55,50,36,64,48,51,57,55,54,61,46,49,69,80,80,80,80,60,60,80,60,80,60,40,60,40,60,60,80,11,Ｂ,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,66,62,56,65,66,67,53,60,60,53,57,0
70,在職,２０〜２５才,女,51,48,50,46,50,50,44,53,45,42,42,47,50,42,32,70,62,52,51,67,59,52,57,50,54,44,71,54,71,70,47,64,65,46,56,61,80,100,100,80,80,80,100,80,100,80,60,80,80,80,60,100,2,Ｃ,積極性があり、競合する条件では実力以上の成果をあげることがある。じっくりと物事を考えてから実行に移し、その行動には自信をもっているため、何か問題が起きたり、失敗したりすると、責任を人に転嫁するといった他罰的傾向も見られる。しかし、他人との協調性がないとはいえず、周囲に対する気遣いもある。確かに、実力を発揮することができる要素を持ち、現実にそうであるとしても、自分だけが頑張っていて苦労していることを強調するような独善性はあまりない。世慣れた面がみられ、対外的にはわりと頼りになる人だといえる。そうした反面、周囲のことや社会への関心はあるが、それよりも自己の内面世界に関心があり、独自の考え方や価値観を形成させている。また、ものの見方は客観的であり、他人の意見や感情、場の雰囲気などに流されることなく、キチンと把握しようとしている。発想は着実なものが多いが、時として非常にユニークで突拍子もないアイデアを出すこともあり、豊かな内面性の持ち主で自己をよく内省している。,42,57,52,50,47,55,52,64,57,49,59,0
71,退職,２０〜２５才,男,29,54,50,46,50,59,40,48,50,61,49,43,57,42,49,50,52,44,61,50,50,52,45,46,51,50,64,44,51,52,50,54,57,52,49,52,80,100,80,60,80,100,80,80,60,60,80,80,100,80,80,80,3,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,51,43,40,53,49,49,47,54,56,48,50,0
72,在職,２０〜２５才,女,36,58,63,51,42,75,55,50,45,65,42,40,70,68,29,50,62,56,66,59,53,55,53,43,51,38,64,48,47,55,74,64,68,52,56,64,80,100,80,80,100,100,100,60,80,80,60,80,80,80,20,80,14,Ａ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,72,67,57,74,66,69,47,61,65,47,60,0
